,year,make,model,sub_model,city,state,mileage,price,style,exterior_color,interior_color,engine,drive_type,fuel_type,transmission,accidents,title,owners,use_type
2918,2014,Honda,CR-V,EX FWD,Woodway,TX,84416,14999,SUV,Gray,Grey Leather,2.4L Inline-4 Gas,FWD,Gas,Automatic,0,Clean,2,Personal Use
2919,2016,Honda,Pilot,EX-L with Rear Entertainment System FWD,Salem,OR,71598,21991,SUV,White Diamond Pearl,Unknown,3.5L V-6 Gas,FWD,Gas,Automatic,0,Clean,3,Personal Use
2920,2018,Ford,F-150,XLT SuperCrew 5.5' Box 4WD,Omak,WA,30444,42999,Pickup Truck,Oxford White,Black Sport Cloth,2.7L V-6 Gas Turbocharged,4WD,Gas,Automatic,0,Clean,1,Personal Use
2921,2013,Ford,Edge,SEL FWD,Los Angeles,CA,71390,13495,SUV,Tuxedo Black Metallic,Charcoal Black,3.5L V-6 Gas,FWD,Gas,Automatic,0,Clean,2,Personal Use
2922,2017,Nissan,Rogue,SL AWD,Amityville,NY,56719,19000,SUV,Gun Metallic,Charcoal,2.5L Inline-4 Gas,AWD,Gas,Automatic,0,Clean,2,Personal Use
2923,2012,Honda,Odyssey,EX-L,Mckinney,TX,99431,15500,Minivan,Crystal Black Pearl,Gray,3.5L V-6 Gas,FWD,Gas,Automatic,0,Clean,2,Personal Use
2924,2018,Chevrolet,Equinox,LT with 1LT AWD,Kansas City,MO,135184,15495,SUV,Silver Ice Metallic,Jet Black,1.5L Inline-4 Gas Turbocharged,AWD,Gas,Automatic,0,Clean,1,Fleet Use
2925,2019,Chevrolet,Silverado 1500,RST Crew Cab Short Box 4WD,Vallejo,CA,26020,50991,Pickup Truck,Black,Jet Black,5.3L Inline-8 Gas Turbocharged,4WD,Gas,Automatic,0,Clean,1,Fleet Use
2926,2012,Audi,A5,Premium Plus Coupe 2.0T quattro Automatic,Hartford,CT,105294,13500,Coupe,Ibis White,Black,2.0L Inline-4 Gas Turbocharged,AWD,Gas,Automatic,1,Clean,3,Personal Use
2927,2018,Toyota,Camry,SE I4 Automatic,Great Neck,NY,39288,19495,Sedan,Celestial Silver Metallic,Gray,2.5L Inline-4 Gas,FWD,Gas,Automatic,0,Clean,1,Personal Use
