,year,make,model,sub_model,city,state,mileage,price,style,exterior_color,interior_color,engine,drive_type,fuel_type,transmission,accidents,title,owners,use_type,cpo
7550,2016,Honda,Civic,LX Sedan CVT,Tucson,AZ,"43,794","$16,994",Sedan,Burgundy Night Pearl,Ivory,2.0L Inline-4 Gas,FWD,Gas,Automatic,0,Clean,2,Personal Use,True
7551,2015,Chevrolet,Silverado 1500,High Country Crew Cab Short Box 4WD,Surprise,AZ,"73,535","$37,000",Pickup Truck,Black,Unknown,5.3L V-8 Gas,4WD,Gas,Automatic,0,Clean,3,Personal Use,True
7552,2018,Ford,Explorer,Limited FWD,Woodway,TX,"57,802","$31,867",SUV,Magnetic Metallic,Ebony Black,2.3L Inline-4 Gas Turbocharged,FWD,Gas,Automatic,0,Clean,1,Personal Use,True
7553,2018,Dodge,Challenger,SXT RWD Automatic,Sierra Vista,AZ,"51,452","$24,395",Coupe,Billet Clearcoat,Black,3.6L V-6 Gas,RWD,Gas,Automatic,0,Clean,1,Fleet Use,True
7554,2015,Lexus,IS,IS 250 Sedan RWD,Santa Rosa,CA,"92,868","$20,000",Sedan,Silver Lining Metallic,Black,2.5L V-6 Gas,RWD,Gas,Automatic,0,Clean,2,Personal Use,True
7555,2018,Honda,Accord,Sport 1.5T CVT,Ocala,FL,"71,574","$24,883",Sedan,Platinum White Pearl,Black,1.5L Inline-4 Gas Turbocharged,FWD,Gas,Automatic,0,Clean,2,Personal Use,True
7556,2020,Ford,Edge,SEL FWD,Fort Worth,TX,"56,819","$26,590",SUV,White,Beige,2.0L Inline-4 Gas Turbocharged,FWD,Gas,Automatic,0,Clean,1,Mixed Use,True
7557,2018,Hyundai,Santa Fe Sport,Base 2.4L FWD,Fort Myers,FL,"80,731","$16,416",SUV,Pearl White,Gray,2.4L Inline-4 Gas,FWD,Gas,Automatic,0,Clean,3,Rental Use,True
7558,2014,Ford,F-150,XL SuperCab 6.5' Box 4WD,South Hackensack,NJ,"154,005","$13,999",Pickup Truck,White,Unknown,3.7L V-6 Gas,4WD,Gas,Automatic,0,Clean,2,Fleet Use,True
7559,2014,Jeep,Wrangler,Sahara,Brooklyn,NY,"121,863","$16,995",SUV,Bright White Clearcoat,Dark Saddle/Black,3.6L V-6 Gas,4WD,Gas,Automatic,1,Clean,2,Personal Use,True
7560,2019,Toyota,Tundra,SR5 CrewMax 5.5' Bed 5.7L FFV 4WD,Frisco,TX,"23,732","$44,499",Pickup Truck,Super White,Black,5.7L V-8 Gas,4WD,Gas,Automatic,0,Clean,2,Personal Use,True
7561,2018,Honda,CR-V,EX AWD,Brooklyn,NY,"30,457","$29,031",SUV,Crystal Black Pearl,Unknown,1.5L Inline-4 Gas Turbocharged,AWD,Gas,Automatic,0,Clean,1,Personal Use,True
7562,2018,Ram,1500,"Express Crew Cab 5'7"" Box 2WD",Naples,FL,"59,384","$27,497",Pickup Truck,Brilliant Black Crystal Pearlcoat,Diesel Gray/Black,3.6L V-6 Gas,RWD,Gas,Automatic,0,Clean,1,Personal Use,True
7563,2019,Ford,Fusion,SE FWD,Hickory,NC,"29,906","$19,998",Sedan,Blue Metallic,Black,1.5L Inline-4 Gas Turbocharged,FWD,Gas,Automatic,0,Clean,2,Fleet Use,True
7564,2019,Ford,Super Duty F-250,Lariat 4WD Crew Cab 6.75' Box,Hooksett,NH,"19,657","$59,491",Pickup Truck,Oxford White,Black,6.2L V-8 Gas,4WD,Gas,Automatic,0,Clean,1,Personal Use,True
7565,2016,Ford,Mustang,GT Premium Fastback,Daly City,CA,"37,576","$32,492",Coupe,Shadow Black,Ebony,5.0L V-8 Gas,RWD,Gas,Automatic,0,Clean,3,Personal Use,True
7566,2020,Ford,Explorer,XLT RWD,Oxnard,CA,"20,269","$41,995",SUV,Star White Metallic Tri-Coat,Sandstone,2.3L Inline-4 Gas Turbocharged,RWD,Gas,Automatic,0,Clean,1,Personal Use,True
7567,2018,Chevrolet,Equinox,LT with 1LT FWD,Downers Grove,IL,"61,456","$20,798",SUV,Mosaic Black Metallic,Jet Black,1.5L Inline-4 Gas Turbocharged,FWD,Gas,Automatic,1,Clean,1,Rental Use,True
7568,2018,Ford,F-150,XLT SuperCab 6.5' Box 4WD,Maple Shade,NJ,"24,576","$37,200",Pickup Truck,Lead Foot,Black,2.7L V-6 Gas Turbocharged,4WD,Gas,Automatic,0,Clean,1,Personal Use,True
7569,2020,Toyota,RAV4,Hybrid XSE AWD,Tyler,TX,"40,726","$41,900",SUV,Blizzard Pearl W/Midnight Black Roof,Black,2.5L Inline-4 Hybrid,AWD,Hybrid,Automatic,0,Clean,1,Personal Use,True
7570,2020,Chevrolet,Malibu,LT,Greenville,NC,"61,366","$22,399",Sedan,Silver Ice Metallic,Jet Black,1.5L Inline-4 Gas Turbocharged,FWD,Gas,Automatic,0,Clean,2,Rental Use,True
7571,2018,Ram,1500,"Laramie Crew Cab 5'7"" Box 4WD",Linden,NJ,"89,632","$28,995",Pickup Truck,Bright White Clearcoat,Black,5.7L V-8 Gas,4WD,Gas,Automatic,1,Clean,2,Fleet Use,True
7572,2016,Nissan,Maxima,SV,El Paso,TX,"53,648","$20,465",Sedan,Storm Blue,Charcoal,3.5L V-6 Gas,FWD,Gas,Automatic,0,Clean,2,Personal Use,True
7573,2016,Ford,F-150,XLT SuperCrew 5.5' Box RWD,Rio Linda,CA,"72,179","$27,999",Pickup Truck,Oxford White,Medium Earth Gray,3.5L V-6 Gas,RWD,Gas,Automatic,0,Clean,1,Personal Use,True
7574,2019,Ram,1500,"Rebel Crew Cab 5'7"" Box 4WD",Pikeville,KY,"39,870","$47,151",Pickup Truck,Granite Crystal Metallic Clearcoat,Red/Black,5.7L V-8 Gas,4WD,Gas,Automatic,0,Clean,1,Personal Use,True
7575,2018,Honda,Civic,LX Sedan CVT,Dallas,TX,"56,978","$18,998",Sedan,Lunar Silver Metallic,Black,2.0L Inline-4 Gas,FWD,Gas,Automatic,0,Clean,2,Fleet Use,True
7576,2018,Jeep,Grand Cherokee,Limited 4WD,Plainfield,NJ,"27,974","$35,800",SUV,Bright White Clearcoat,Black,3.6L V-6 Gas,4WD,Gas,Automatic,0,Clean,1,Personal Use,True
7577,2014,Lincoln,MKT,EcoBoost 3.5L AWD,Spearfish,SD,"148,607","$11,399",SUV,Ingot Silver Metallic,Charcoal Black,3.5L V-6 Gas Turbocharged,AWD,Gas,Automatic,0,Clean,4,Mixed Use,True
7578,2019,Ford,Expedition,Limited RWD,Plano,TX,"67,849","$44,900",SUV,Agate Black Metallic,Ebony,3.5L V-6 Gas Turbocharged,RWD,Gas,Automatic,0,Clean,3,Mixed Use,True
7579,2020,Ford,F-150,Platinum SuperCrew 5.5' Box 2WD,Shreveport,LA,"17,578","$51,977",Pickup Truck,Agate Black Metallic,Black,5.0L V-8 Gas,RWD,Gas,Automatic,0,Clean,1,Personal Use,True
7580,1998,Oldsmobile,Cutlass,4dr Sedan GLS,Lebanon,IN,"94,585","$2,495",Sedan,Tan,Tan,3.1L V-6 Gas,FWD,Gas,Automatic,1,Clean,4,Personal Use,True
7581,2019,Ford,F-150,XLT SuperCrew 5.5' Box 4WD,Union City,GA,"30,202","$39,990",Pickup Truck,White,Gray,5.0L V-8 Gas,4WD,Gas,Automatic,0,Clean,1,Fleet Use,True
